Permalink,Creator,Object title,Type,Format,Licence,Date (From),Date (To),Date (Appendix),Image number,Image 1,Image 2,Image 3,Image 4,Image 5,Image 6,Image 7,Image 8,Image 9,Image 10,Image 11,Image 12,Image 13,Image 14,Image 15,Image 16,Image 17,Image 18,Image 19 
 https://gams.uni-graz.at/o:vase.104 ," Karastoyanov, Ivan Anastasov ", Studio portrait of the Stoilov family ,Photograph,Cabinet,Creative Commons [CC BY-NC-ND 3.0],1888,1893,  ,2, https://gams.uni-graz.at/archive/objects/o:vase.104/datastreams/IMAGE.1/content , https://gams.uni-graz.at/archive/objects/o:vase.104/datastreams/IMAGE.2/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
 https://gams.uni-graz.at/o:vase.1040 ," Jovanović, Milan ", Serbian military officer with children ,Photograph,Boudoir,Creative Commons [CC BY-NC-ND 3.0],1893,,  ,2, https://gams.uni-graz.at/archive/objects/o:vase.1040/datastreams/IMAGE.1/content , https://gams.uni-graz.at/archive/objects/o:vase.1040/datastreams/IMAGE.2/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
 https://gams.uni-graz.at/o:vase.1041 ," Jovanović, Milan ", Studio portrait of a young couple ,Photograph,Cabinet,Creative Commons [CC BY-NC-ND 3.0],1896,,  ,2, https://gams.uni-graz.at/archive/objects/o:vase.1041/datastreams/IMAGE.1/content , https://gams.uni-graz.at/archive/objects/o:vase.1041/datastreams/IMAGE.2/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
 https://gams.uni-graz.at/o:vase.1042 ," Jovanović, Milan ", Studio portrait of Ljuba Stanojević's daughters ,Photograph,Cabinet,Creative Commons [CC BY-NC-ND 3.0],1895,1897,  ,2, https://gams.uni-graz.at/archive/objects/o:vase.1042/datastreams/IMAGE.1/content , https://gams.uni-graz.at/archive/objects/o:vase.1042/datastreams/IMAGE.2/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
 https://gams.uni-graz.at/o:vase.1043 ," Jovanović, Milan ", Studio portrait of an infant ,Photograph,Cabinet,Creative Commons [CC BY-NC-ND 3.0],1893,,  ,2, https://gams.uni-graz.at/archive/objects/o:vase.1043/datastreams/IMAGE.1/content , https://gams.uni-graz.at/archive/objects/o:vase.1043/datastreams/IMAGE.2/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
 https://gams.uni-graz.at/o:vase.1044 ," Jovanović, Milan ", Portrait of a man and a woman ,Photograph,Cabinet,Creative Commons [CC BY-NC-ND 3.0],1898,1900,  ,2, https://gams.uni-graz.at/archive/objects/o:vase.1044/datastreams/IMAGE.1/content , https://gams.uni-graz.at/archive/objects/o:vase.1044/datastreams/IMAGE.2/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
 https://gams.uni-graz.at/o:vase.1045 ," Jovanović, Milan ", Studio photograph of Djina Lunjevica ,Photograph,Malvern,Creative Commons [CC BY-NC-ND 3.0],1902,,  ,2, https://gams.uni-graz.at/archive/objects/o:vase.1045/datastreams/IMAGE.1/content , https://gams.uni-graz.at/archive/objects/o:vase.1045/datastreams/IMAGE.2/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
 https://gams.uni-graz.at/o:vase.1046 ," Jovanović, Milan ", Studio portrait of Zorka Vlajić ,Photograph,Promenade,Creative Commons [CC BY-NC-ND 3.0],1900,1902,  ,2, https://gams.uni-graz.at/archive/objects/o:vase.1046/datastreams/IMAGE.1/content , https://gams.uni-graz.at/archive/objects/o:vase.1046/datastreams/IMAGE.2/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
 https://gams.uni-graz.at/o:vase.1047 ," Jovanović, Milan ", Studio portrait of Milan A. Medović ,Photograph,Boudoir,Creative Commons [CC BY-NC-ND 3.0],1889,,  ,2, https://gams.uni-graz.at/archive/objects/o:vase.1047/datastreams/IMAGE.1/content , https://gams.uni-graz.at/archive/objects/o:vase.1047/datastreams/IMAGE.2/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
 https://gams.uni-graz.at/o:vase.1048 ," Jovanović, Milan ", Studio portrait of Dušan M. Spasić ,Photograph,Boudoir,Creative Commons [CC BY-NC-ND 3.0],1898,1900,  ,2, https://gams.uni-graz.at/archive/objects/o:vase.1048/datastreams/IMAGE.1/content , https://gams.uni-graz.at/archive/objects/o:vase.1048/datastreams/IMAGE.2/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
